@RELATION audience.n


@ATTRIBUTE sense {00000, 00001, 10000, 10010, 10100, 00010, 00110, 00100, 01100}
@ATTRIBUTE #lister{0,1}
@ATTRIBUTE #philippa{0,1}
@ATTRIBUTE #finvest{0,1}
@ATTRIBUTE #francophile{0,1}
@ATTRIBUTE #measurable{0,1}
@ATTRIBUTE #pivotal{0,1}
@ATTRIBUTE #recursive{0,1}
@ATTRIBUTE #panellists{0,1}
@ATTRIBUTE #punctiliously{0,1}
@ATTRIBUTE #spurs{0,1}
@ATTRIBUTE #suntory{0,1}
@ATTRIBUTE #helpings{0,1}

@DATA
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00010, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
