@RELATION operate.v


@ATTRIBUTE sense {010000, 001000, 000000, 000001}
@ATTRIBUTE #eventdata{0,1}
@ATTRIBUTE #vere{0,1}

@DATA
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
001000, 0, 1
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
000000, 0, 0
010000, 1, 0
000000, 0, 0
