@RELATION play.v


@ATTRIBUTE sense {0000000000100, 0010000000000, 0000000000010, 0100000000000, 0000000000000, 0000000000001, 1000000000000, 0000100000000, 0000010000000, 0000000001000, 0000000010000}
@ATTRIBUTE #tennis{0,1}
@ATTRIBUTE #safe{0,1}
@ATTRIBUTE #Hamlet{0,1}
@ATTRIBUTE #racquet{0,1}
@ATTRIBUTE #hath{0,1}
@ATTRIBUTE #guitar{0,1}
@ATTRIBUTE #families{0,1}
@ATTRIBUTE #defeat{0,1}
@ATTRIBUTE #cricket{0,1}
@ATTRIBUTE #actors{0,1}
@ATTRIBUTE #Shaw{0,1}
@ATTRIBUTE #Shakespeare{0,1}

@DATA
0000100000000,1,0,0,1,0,0,0,0,1,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,1,0
0010000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000001000,0,0,0,0,0,0,0,1,0,0,0,0
0000010000000,0,0,0,0,0,0,0,0,0,0,0,0
0000010000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000100,0,0,0,0,1,0,0,0,0,0,0,0
0100000000000,0,0,1,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000100,0,1,0,0,0,0,0,0,0,0,0,0
0010000000000,0,0,0,0,0,0,0,0,0,0,0,0
1000000000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000100000000,1,0,0,1,0,0,0,0,1,0,0,0
0010000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000010000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,1,0,0
0100000000000,0,0,0,0,0,0,0,0,0,1,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000100,0,1,0,0,0,0,0,0,0,0,0,0
0000010000000,0,0,0,0,0,1,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000010000000,0,0,0,0,0,1,0,0,0,0,0,0
0010000000000,0,0,0,0,0,0,1,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,1,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,1,0
0010000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,1,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000010,0,0,0,0,0,0,0,0,0,0,0,0
0010000000000,0,0,0,0,0,0,1,0,0,0,0,0
0000100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,1
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000010000,0,0,0,0,0,0,0,0,0,0,0,0
0000000001000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000010000,0,0,0,0,0,0,0,0,0,0,0,0
0000100000000,1,0,0,0,0,0,0,1,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000010,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000010000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000010000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,1,0,0,0,0,0,0,0,0,0
0000000001000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000001,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000010000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000010000,0,0,0,0,0,0,0,0,0,0,0,0
0000010000000,0,0,0,0,0,1,0,0,0,0,0,0
0000000010000,0,0,0,0,0,0,0,0,0,0,0,0
