@RELATION decide.v


@ATTRIBUTE senses {00000, 00001, 01000, 00010, 00100}
@ATTRIBUTE #battlefield{0,1}
@ATTRIBUTE #pups{0,1}
@ATTRIBUTE #reason{0,1}
@ATTRIBUTE #fish{0,1}
@ATTRIBUTE #maureen{0,1}
@ATTRIBUTE #whether{0,1}
@ATTRIBUTE #story{0,1}
@ATTRIBUTE #goldsmith{0,1}
@ATTRIBUTE #lucyless{0,1}
@ATTRIBUTE #materials{0,1}
@ATTRIBUTE #correct{0,1}
@ATTRIBUTE #anagram{0,1}
@ATTRIBUTE #kin{0,1}
@ATTRIBUTE #slow{0,1}
@ATTRIBUTE #sculptor{0,1}
@ATTRIBUTE #glad{0,1}
@ATTRIBUTE #transfer{0,1}
@ATTRIBUTE #singleton{0,1}
@ATTRIBUTE #williams{0,1}
@ATTRIBUTE #resign{0,1}
@ATTRIBUTE #sleep{0,1}
@ATTRIBUTE #director{0,1}
@ATTRIBUTE #aim{0,1}
@ATTRIBUTE #emersonianism{0,1}
@ATTRIBUTE #ask{0,1}
@ATTRIBUTE #try{0,1}
@ATTRIBUTE #bake{0,1}
@ATTRIBUTE #ministry{0,1}
@ATTRIBUTE #holidays{0,1}
@ATTRIBUTE #discard{0,1}
@ATTRIBUTE #letting{0,1}
@ATTRIBUTE #plot{0,1}
@ATTRIBUTE #jog{0,1}
@ATTRIBUTE #marjorie{0,1}
@ATTRIBUTE #map{0,1}
@ATTRIBUTE #victories{0,1}
@ATTRIBUTE #pick{0,1}
@ATTRIBUTE #evening{0,1}
@ATTRIBUTE #ignore{0,1}
@ATTRIBUTE #acquire{0,1}
@ATTRIBUTE #stay{0,1}
@ATTRIBUTE #assassinate{0,1}
@ATTRIBUTE #prosecute{0,1}
@ATTRIBUTE #let{0,1}
@ATTRIBUTE #firm{0,1}
@ATTRIBUTE #redevelopment{0,1}
@ATTRIBUTE #join{0,1}
@ATTRIBUTE #eventually{0,1}
@ATTRIBUTE #reasonable{0,1}
@ATTRIBUTE #repeated{0,1}
@ATTRIBUTE #paddington{0,1}
@ATTRIBUTE #gryphon{0,1}
@ATTRIBUTE #allowed{0,1}
@ATTRIBUTE #ten{0,1}
@ATTRIBUTE #concentrate{0,1}
@ATTRIBUTE #belong{0,1}
@ATTRIBUTE #difficulty{0,1}
@ATTRIBUTE #br{0,1}
@ATTRIBUTE #accomplished{0,1}
@ATTRIBUTE #evidently{0,1}
@ATTRIBUTE #follow{0,1}
@ATTRIBUTE #fieldnotes{0,1}
@ATTRIBUTE #toolbox{0,1}
@ATTRIBUTE #station{0,1}
@ATTRIBUTE #easier{0,1}
@ATTRIBUTE #collective{0,1}
@ATTRIBUTE #winters{0,1}
@ATTRIBUTE #labrador{0,1}
@ATTRIBUTE #experimenter{0,1}
@ATTRIBUTE #finish{0,1}
@ATTRIBUTE #quotations{0,1}
@ATTRIBUTE #degrading{0,1}
@ATTRIBUTE #manufacture{0,1}
@ATTRIBUTE #walk{0,1}
@ATTRIBUTE #hamadi{0,1}
@ATTRIBUTE #pound{0,1}
@ATTRIBUTE #treat{0,1}
@ATTRIBUTE #funerals{0,1}
@ATTRIBUTE #explore{0,1}
@ATTRIBUTE #call{0,1}
@ATTRIBUTE #stop{0,1}
@ATTRIBUTE #toe{0,1}
@ATTRIBUTE #gamble{0,1}
@ATTRIBUTE #quick{0,1}
@ATTRIBUTE #assimilation{0,1}
@ATTRIBUTE #officer{0,1}
@ATTRIBUTE #details{0,1}
@ATTRIBUTE #deciding{0,1}
@ATTRIBUTE #wash{0,1}
@ATTRIBUTE #balletic{0,1}
@ATTRIBUTE #belatedly{0,1}
@ATTRIBUTE #circumstances{0,1}
@ATTRIBUTE #naturally{0,1}
@ATTRIBUTE #ahead{0,1}
@ATTRIBUTE #pleases{0,1}
@ATTRIBUTE #previewed{0,1}
@ATTRIBUTE #intercity{0,1}
@ATTRIBUTE #degrees{0,1}
@ATTRIBUTE #registration{0,1}
@ATTRIBUTE #customers{0,1}
@ATTRIBUTE #bramble{0,1}
@ATTRIBUTE #berkeley{0,1}
@ATTRIBUTE #take{0,1}
@ATTRIBUTE #freeze{0,1}
@ATTRIBUTE #prices{0,1}
@ATTRIBUTE #manner{0,1}

@DATA
00010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0
00010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
00010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
