@RELATION write.v


@ATTRIBUTE sense {000000000, 000001000, 000000001, 001000000, 000100000, 000000010}
@ATTRIBUTE #work{0,1}
@ATTRIBUTE #letters{0,1}
@ATTRIBUTE #Please{0,1}
@ATTRIBUTE #art{0,1}
@ATTRIBUTE #well{0,1}
@ATTRIBUTE #letter{0,1}
@ATTRIBUTE #where{0,1}
@ATTRIBUTE #political{0,1}
@ATTRIBUTE #please{0,1}
@ATTRIBUTE #people{0,1}
@ATTRIBUTE #later{0,1}
@ATTRIBUTE #historians{0,1}

@DATA
001000000,1,0,0,0,0,0,0,0,0,0,0,0
000000010,0,0,0,0,0,0,0,0,0,1,0,0
000100000,0,0,0,0,0,0,0,0,0,0,0,0
001000000,0,0,0,1,0,0,0,0,0,0,0,1
000100000,1,0,0,0,0,0,1,0,0,0,0,0
000000001,0,0,1,0,0,0,0,0,0,0,0,0
001000000,0,1,0,0,0,0,1,0,0,0,0,0
000000001,1,0,0,0,0,0,0,0,1,0,0,0
000000010,0,0,0,0,0,0,0,0,0,0,0,0
000000001,0,1,0,0,0,0,0,0,0,1,0,0
001000000,1,0,0,0,0,0,0,0,0,0,1,0
001000000,1,0,0,0,0,0,0,0,0,0,0,0
001000000,0,0,0,0,0,0,0,0,0,0,0,0
000100000,0,0,0,0,0,0,0,1,0,0,0,0
000100000,0,0,0,0,0,0,0,0,0,0,0,0
000100000,0,0,0,0,0,0,0,0,0,0,0,0
001000000,0,0,0,0,1,0,0,1,0,0,0,0
001000000,1,0,0,1,0,0,0,0,0,0,0,0
000000001,0,0,1,0,0,0,0,0,0,0,0,0
000000001,0,0,0,0,0,1,0,0,1,0,0,0
000000001,0,0,0,0,0,0,0,0,1,0,0,0
001000000,0,0,0,0,0,0,0,0,0,0,0,0
000100000,0,1,0,0,0,0,0,0,0,0,0,0
000000001,0,0,1,0,0,0,0,0,0,0,0,0
001000000,0,0,0,0,0,0,0,0,0,0,0,0
000100000,0,0,0,0,0,0,0,0,0,0,0,0
000100000,0,1,0,0,0,0,0,0,0,0,0,0
000000001,1,0,0,0,0,0,0,0,1,0,0,0
000001000,1,0,0,0,0,0,0,0,0,0,0,0
001000000,0,0,0,0,0,0,0,0,0,0,0,0
000000001,0,0,0,0,0,1,0,0,0,0,0,0
000000001,0,1,1,0,0,0,0,0,0,0,0,0
001000000,1,0,0,1,0,0,0,0,0,0,0,0
000100000,0,0,0,0,0,1,0,0,0,0,0,0
000000001,0,0,0,0,0,0,0,0,0,1,0,0
000000010,0,0,0,0,1,0,0,0,0,0,0,0
000000001,0,1,1,0,0,0,0,0,0,0,0,0
000000001,0,0,1,0,0,0,0,0,0,0,0,0
001000000,0,0,0,1,1,0,0,0,0,0,0,1
000000010,0,0,0,0,1,0,0,0,0,0,0,0
001000000,1,0,0,0,0,0,0,0,0,0,0,0
000000001,0,1,0,0,0,0,1,0,0,0,0,0
000100000,0,0,0,0,0,0,0,0,0,0,1,0
000100000,0,0,0,0,0,0,0,0,0,0,0,0
