@RELATION disc.n


@ATTRIBUTE sense {01000, 01010, 00010, 00100, 00110, 10001, 00000, 00001, 10000, 11000, 01001, 01100, 01101}
@ATTRIBUTE #one{0,1}
@ATTRIBUTE #records{0,1}
@ATTRIBUTE #record{0,1}
@ATTRIBUTE #using{0,1}
@ATTRIBUTE #two{0,1}
@ATTRIBUTE #type{0,1}
@ATTRIBUTE #made{0,1}
@ATTRIBUTE #inch{0,1}
@ATTRIBUTE #floppy{0,1}
@ATTRIBUTE #flat{0,1}
@ATTRIBUTE #first{0,1}
@ATTRIBUTE #discs{0,1}

@DATA
00010,0,0,0,0,0,0,0,0,0,0,0,1
00100,0,0,0,0,0,0,0,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
01001,0,0,0,0,0,0,0,0,0,0,0,0
10001,0,0,0,0,0,0,0,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,1,0,0
01001,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,1,0,0,0,0,0,0,0,0,0
00110,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,1,1,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,1,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
01001,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,1,0,0,0,0,0,0,0,0,0,0
01101,0,0,0,0,0,0,0,0,0,0,0,0
10000,0,0,0,0,0,0,0,0,0,0,0,0
01001,0,0,0,0,0,0,0,0,0,0,0,0
01001,0,0,0,0,0,0,1,0,0,0,0,0
00010,0,0,0,1,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,1,0,0,0,0,0,0,0,0,0,0
10000,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00100,1,1,0,0,0,0,0,0,0,0,1,0
01001,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,1,0,0,1,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,1,0,0,0,0,1,0,0,0,1,0
00100,0,0,0,0,0,0,0,0,0,0,1,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,1,0,0,0,0,0,0,0,1
01000,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,1,0,0,0,0,0,0,0,0,0
00100,1,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,1,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00100,1,0,0,0,0,0,0,1,0,0,1,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,1,0,0,0,0,0,0,0,0,1,0
00100,0,0,1,0,0,0,1,0,0,0,0,0
00100,0,0,0,0,0,0,0,1,0,0,0,0
00010,0,0,0,0,0,0,1,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
01001,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,1,0
01000,0,0,0,0,1,0,1,0,0,0,0,0
00010,0,0,0,0,0,0,0,1,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,1,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,1,1,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,1,0,0,0,0,0
00100,1,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,1,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,1,0,0,0,0,0,0,0,1
01000,0,0,0,0,1,0,0,0,0,0,0,0
00100,0,0,1,0,0,1,0,0,0,0,1,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00100,1,0,0,0,0,0,0,0,0,1,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
01010,0,0,0,0,0,0,0,0,0,0,0,0
00100,1,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,1,0,0,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,1,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,1,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00010,1,0,0,0,0,0,0,0,0,0,0,1
00010,0,0,0,0,0,0,1,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,1,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
11000,0,0,0,0,0,0,1,0,0,0,0,0
00100,0,0,1,0,0,0,0,0,0,0,0,0
01001,0,0,0,0,0,0,0,0,0,0,0,0
01001,0,0,0,0,0,0,0,0,0,0,0,0
00010,1,0,0,0,0,0,0,1,0,0,0,1
01000,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,1,0,0,0,0,0,1,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
00110,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
01100,0,0,0,0,1,0,0,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
01001,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,1,0,0,0,0,0,0,0,1
00100,0,0,1,0,0,0,0,1,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
00110,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,1,1,0,0,0,0
01100,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,1,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,1,0,0,0,0,0,0,0,0,1,0
00001,0,0,0,0,1,0,0,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,1,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,1,0,0,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
00010,1,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,1,0,0,0
01001,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,1,0,1,0,0,0,0,0,0
00100,0,1,0,0,0,0,0,0,0,0,0,0
01001,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,1,0,0,0,0,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,1,0,0
00010,0,0,0,1,0,0,0,0,1,0,1,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,1,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,1,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00010,1,0,0,0,0,1,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,1,0,0,0,1
01001,0,0,0,0,0,0,0,0,0,0,0,0
01001,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,1,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,1,0,0,0,0,0,0,0,0
01000,0,0,0,0,0,0,0,0,0,0,0,0
00100,0,0,0,0,0,1,0,0,1,0,0,0
00100,0,1,0,0,0,0,0,0,0,0,0,0
00100,1,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
01000,1,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,1,0,1,0,0,0
00100,0,0,0,0,0,0,0,0,0,0,1,0
10000,0,0,0,0,0,0,0,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,0,0,0
00010,0,0,0,0,0,0,0,0,0,0,0,0
11000,0,0,0,0,0,0,0,0,0,0,0,0
00001,0,0,0,0,0,0,0,0,0,1,0,0
