@RELATION watch.v


@ATTRIBUTE sense {00001000, 00000100, 00100000, 00000010, 00000001, 00000000, 01000000}
@ATTRIBUTE #other{0,1}
@ATTRIBUTE #people{0,1}
@ATTRIBUTE #men{0,1}
@ATTRIBUTE #eyes{0,1}
@ATTRIBUTE #down{0,1}
@ATTRIBUTE #We{0,1}
@ATTRIBUTE #where{0,1}
@ATTRIBUTE #want{0,1}
@ATTRIBUTE #television{0,1}
@ATTRIBUTE #take{0,1}

@DATA
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,1,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,1,1,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,1,0,0,0,0,0,1,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,1,0,0,0,0
00000000,0,0,0,0,1,0,0,0,0,0
00000000,0,0,0,0,1,0,0,0,0,0
00000000,0,1,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,1,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,1,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,1,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,1
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,1,0,1,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,1,0,0,0,0,0
00000000,0,0,0,0,0,0,0,1,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,1,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,1,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,1,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,1,0,0,0,0
00000000,0,0,0,1,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,1,0,0
00000000,0,0,0,0,1,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,1,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,1,0,0,0,1,0,0,0,0,0
00000000,0,0,0,0,1,1,1,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,1,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,1,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,1,0,0,0,0
00000000,0,0,0,0,0,1,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,1,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,1
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,1,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,1,0,0,0,0,0,0,0,0
00000000,0,1,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,1,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,1,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,1,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0
