@RELATION important.a


@ATTRIBUTE sense {000010, 001000, 010000, 001101, 010100, 010101, 011000, 011100, 000100, 000000, 000101, 000001}
@ATTRIBUTE #most{0,1}
@ATTRIBUTE #single{0,1}
@ATTRIBUTE #art{0,1}
@ATTRIBUTE #thing{0,1}
@ATTRIBUTE #student{0,1}
@ATTRIBUTE #self{0,1}
@ATTRIBUTE #part{0,1}
@ATTRIBUTE #novel{0,1}
@ATTRIBUTE #group{0,1}
@ATTRIBUTE #development{0,1}

@DATA
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,1,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,1,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,1,0,0,1,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,1,0,0,0,0
000000,1,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,1,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
