@RELATION source.n


@ATTRIBUTE sense {01000100, 00000001, 00100100, 01000000, 00000000, 00010001, 00010000, 00001000, 00100010, 00000100, 00000110, 00100000, 00000010}
@ATTRIBUTE #timber{0,1}
@ATTRIBUTE #Poirot{0,1}
@ATTRIBUTE #Hercule{0,1}
@ATTRIBUTE #trace{0,1}
@ATTRIBUTE #rich{0,1}
@ATTRIBUTE #hotel{0,1}
@ATTRIBUTE #hedge{0,1}
@ATTRIBUTE #glycogen{0,1}
@ATTRIBUTE #generated{0,1}
@ATTRIBUTE #adoption{0,1}
@ATTRIBUTE #Christie{0,1}
@ATTRIBUTE #weather{0,1}

@DATA
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,1,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,1,1,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
