@RELATION hear.v


@ATTRIBUTE senses {00001000, 10000000, 00100000, 00000010, 00000000, 01000000, 00010000}
@ATTRIBUTE #jane{0,1}
@ATTRIBUTE #mouthed{0,1}
@ATTRIBUTE #objections{0,1}
@ATTRIBUTE #hate{0,1}
@ATTRIBUTE #fetching{0,1}
@ATTRIBUTE #dishing{0,1}
@ATTRIBUTE #anywhere{0,1}
@ATTRIBUTE #cathal{0,1}
@ATTRIBUTE #walsh{0,1}
@ATTRIBUTE #shrill{0,1}
@ATTRIBUTE #proverb{0,1}
@ATTRIBUTE #spoken{0,1}
@ATTRIBUTE #excuses{0,1}
@ATTRIBUTE #caw{0,1}
@ATTRIBUTE #joshua{0,1}
@ATTRIBUTE #beyond{0,1}
@ATTRIBUTE #story{0,1}
@ATTRIBUTE #mad{0,1}
@ATTRIBUTE #deputy{0,1}
@ATTRIBUTE #apprentices{0,1}
@ATTRIBUTE #schooling{0,1}
@ATTRIBUTE #rooks{0,1}
@ATTRIBUTE #harmony{0,1}
@ATTRIBUTE #moth{0,1}
@ATTRIBUTE #presently{0,1}
@ATTRIBUTE #bashir{0,1}
@ATTRIBUTE #glad{0,1}
@ATTRIBUTE #laugh{0,1}
@ATTRIBUTE #bishop{0,1}
@ATTRIBUTE #endured{0,1}
@ATTRIBUTE #kezia{0,1}
@ATTRIBUTE #bars{0,1}
@ATTRIBUTE #crying{0,1}
@ATTRIBUTE #rattle{0,1}
@ATTRIBUTE #noise{0,1}
@ATTRIBUTE #bounds{0,1}
@ATTRIBUTE #bell{0,1}
@ATTRIBUTE #sir{0,1}
@ATTRIBUTE #stories{0,1}
@ATTRIBUTE #hevidence{0,1}
@ATTRIBUTE #pin{0,1}
@ATTRIBUTE #comforting{0,1}
@ATTRIBUTE #confident{0,1}
@ATTRIBUTE #voices{0,1}
@ATTRIBUTE #referee{0,1}
@ATTRIBUTE #whoever{0,1}
@ATTRIBUTE #daly{0,1}
@ATTRIBUTE #bullet{0,1}

@DATA
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
