@RELATION win.v


@ATTRIBUTE senses {00001000, 10000000, 00000100, 00000010, 00000000, 01000000, 00010000}
@ATTRIBUTE #yorks{0,1}
@ATTRIBUTE #breed{0,1}
@ATTRIBUTE #send{0,1}
@ATTRIBUTE #hammersmith{0,1}
@ATTRIBUTE #second{0,1}
@ATTRIBUTE #reproduced{0,1}
@ATTRIBUTE #wimbledon{0,1}
@ATTRIBUTE #package{0,1}
@ATTRIBUTE #disqualifications{0,1}
@ATTRIBUTE #tankards{0,1}
@ATTRIBUTE #undertakings{0,1}
@ATTRIBUTE #renwick{0,1}
@ATTRIBUTE #stella{0,1}
@ATTRIBUTE #chance{0,1}
@ATTRIBUTE #feather{0,1}
@ATTRIBUTE #race{0,1}
@ATTRIBUTE #champions{0,1}
@ATTRIBUTE #singles{0,1}
@ATTRIBUTE #policies{0,1}
@ATTRIBUTE #danger{0,1}
@ATTRIBUTE #rackets{0,1}
@ATTRIBUTE #grand{0,1}
@ATTRIBUTE #wanting{0,1}
@ATTRIBUTE #arbortech{0,1}
@ATTRIBUTE #weekend{0,1}
@ATTRIBUTE #prizes{0,1}
@ATTRIBUTE #styled{0,1}
@ATTRIBUTE #tickets{0,1}
@ATTRIBUTE #cake{0,1}
@ATTRIBUTE #guinness{0,1}
@ATTRIBUTE #bosch{0,1}
@ATTRIBUTE #status{0,1}
@ATTRIBUTE #tins{0,1}
@ATTRIBUTE #talents{0,1}
@ATTRIBUTE #superb{0,1}
@ATTRIBUTE #distinguished{0,1}
@ATTRIBUTE #pools{0,1}
@ATTRIBUTE #withers{0,1}
@ATTRIBUTE #athletes{0,1}
@ATTRIBUTE #entertaining{0,1}
@ATTRIBUTE #newton{0,1}
@ATTRIBUTE #righteous{0,1}
@ATTRIBUTE #chocolates{0,1}
@ATTRIBUTE #lease{0,1}
@ATTRIBUTE #prize{0,1}
@ATTRIBUTE #golden{0,1}
@ATTRIBUTE #attempt{0,1}
@ATTRIBUTE #woodcarver{0,1}
@ATTRIBUTE #donna{0,1}
@ATTRIBUTE #region{0,1}
@ATTRIBUTE #jack{0,1}
@ATTRIBUTE #contestant{0,1}
@ATTRIBUTE #tooheys{0,1}
@ATTRIBUTE #recipes{0,1}
@ATTRIBUTE #chase{0,1}
@ATTRIBUTE #prost{0,1}
@ATTRIBUTE #carlton{0,1}
@ATTRIBUTE #disappointment{0,1}
@ATTRIBUTE #lairds{0,1}
@ATTRIBUTE #toy{0,1}
@ATTRIBUTE #hoping{0,1}
@ATTRIBUTE #complete{0,1}
@ATTRIBUTE #bone{0,1}
@ATTRIBUTE #tom{0,1}
@ATTRIBUTE #drill{0,1}
@ATTRIBUTE #couple{0,1}
@ATTRIBUTE #pilkington{0,1}
@ATTRIBUTE #eater{0,1}
@ATTRIBUTE #rises{0,1}
@ATTRIBUTE #enjoyed{0,1}
@ATTRIBUTE #classes{0,1}
@ATTRIBUTE #luxurious{0,1}
@ATTRIBUTE #fletcher{0,1}
@ATTRIBUTE #april{0,1}
@ATTRIBUTE #gentile{0,1}
@ATTRIBUTE #weed{0,1}
@ATTRIBUTE #kite{0,1}
@ATTRIBUTE #caption{0,1}
@ATTRIBUTE #deals{0,1}
@ATTRIBUTE #election{0,1}
@ATTRIBUTE #lucky{0,1}
@ATTRIBUTE #angolans{0,1}
@ATTRIBUTE #hamilton{0,1}
@ATTRIBUTE #tips{0,1}
@ATTRIBUTE #slazenger{0,1}
@ATTRIBUTE #technicians{0,1}
@ATTRIBUTE #slam{0,1}

@DATA
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
