@RELATION eat.v


@ATTRIBUTE senses {10000000, 00000010, 00000000, 01000000, 00010000}
@ATTRIBUTE #popcorn{0,1}
@ATTRIBUTE #swallowing{0,1}
@ATTRIBUTE #jobs{0,1}
@ATTRIBUTE #dogs{0,1}
@ATTRIBUTE #relax{0,1}
@ATTRIBUTE #fish{0,1}
@ATTRIBUTE #ian{0,1}
@ATTRIBUTE #karrimats{0,1}
@ATTRIBUTE #olive{0,1}
@ATTRIBUTE #herring{0,1}
@ATTRIBUTE #consuming{0,1}
@ATTRIBUTE #hose{0,1}
@ATTRIBUTE #tapas{0,1}
@ATTRIBUTE #crisps{0,1}
@ATTRIBUTE #barn{0,1}
@ATTRIBUTE #camping{0,1}
@ATTRIBUTE #candy{0,1}
@ATTRIBUTE #protein{0,1}
@ATTRIBUTE #bread{0,1}
@ATTRIBUTE #feast{0,1}
@ATTRIBUTE #drink{0,1}
@ATTRIBUTE #something{0,1}
@ATTRIBUTE #winkles{0,1}
@ATTRIBUTE #hungry{0,1}
@ATTRIBUTE #knife{0,1}
@ATTRIBUTE #normandy{0,1}
@ATTRIBUTE #puffin{0,1}
@ATTRIBUTE #christians{0,1}
@ATTRIBUTE #cook{0,1}
@ATTRIBUTE #buns{0,1}
@ATTRIBUTE #sensibly{0,1}
@ATTRIBUTE #housing{0,1}
@ATTRIBUTE #roots{0,1}
@ATTRIBUTE #plate{0,1}
@ATTRIBUTE #cte{0,1}
@ATTRIBUTE #roy{0,1}
@ATTRIBUTE #journey{0,1}
@ATTRIBUTE #pasta{0,1}
@ATTRIBUTE #miles{0,1}
@ATTRIBUTE #vitality{0,1}
@ATTRIBUTE #athletes{0,1}
@ATTRIBUTE #gobbling{0,1}
@ATTRIBUTE #sandwiches{0,1}
@ATTRIBUTE #thermos{0,1}
@ATTRIBUTE #anyhow{0,1}
@ATTRIBUTE #thinking{0,1}
@ATTRIBUTE #supper{0,1}
@ATTRIBUTE #cardboard{0,1}
@ATTRIBUTE #wished{0,1}
@ATTRIBUTE #hot{0,1}
@ATTRIBUTE #lot{0,1}
@ATTRIBUTE #eels{0,1}
@ATTRIBUTE #woodworms{0,1}
@ATTRIBUTE #queen{0,1}
@ATTRIBUTE #breakfast{0,1}
@ATTRIBUTE #plenty{0,1}
@ATTRIBUTE #schoolboy{0,1}
@ATTRIBUTE #kayak{0,1}
@ATTRIBUTE #walks{0,1}
@ATTRIBUTE #oatcakes{0,1}
@ATTRIBUTE #smoking{0,1}
@ATTRIBUTE #victories{0,1}
@ATTRIBUTE #celery{0,1}
@ATTRIBUTE #deli{0,1}
@ATTRIBUTE #carbohydrates{0,1}
@ATTRIBUTE #seeds{0,1}
@ATTRIBUTE #cooking{0,1}
@ATTRIBUTE #evening{0,1}
@ATTRIBUTE #hole{0,1}
@ATTRIBUTE #choc{0,1}
@ATTRIBUTE #elizabeth{0,1}
@ATTRIBUTE #salted{0,1}
@ATTRIBUTE #chips{0,1}
@ATTRIBUTE #whatever{0,1}
@ATTRIBUTE #fruits{0,1}
@ATTRIBUTE #weetabix{0,1}
@ATTRIBUTE #stool{0,1}
@ATTRIBUTE #hour{0,1}
@ATTRIBUTE #cockneys{0,1}
@ATTRIBUTE #enjoy{0,1}
@ATTRIBUTE #slit{0,1}
@ATTRIBUTE #eventually{0,1}
@ATTRIBUTE #sit{0,1}
@ATTRIBUTE #slick{0,1}
@ATTRIBUTE #millipedes{0,1}
@ATTRIBUTE #picked{0,1}
@ATTRIBUTE #t{0,1}
@ATTRIBUTE #seabirds{0,1}
@ATTRIBUTE #interview{0,1}
@ATTRIBUTE #trench{0,1}
@ATTRIBUTE #walker{0,1}
@ATTRIBUTE #allowed{0,1}
@ATTRIBUTE #dish{0,1}
@ATTRIBUTE #relating{0,1}
@ATTRIBUTE #resources{0,1}
@ATTRIBUTE #mustard{0,1}
@ATTRIBUTE #diet{0,1}
@ATTRIBUTE #jellied{0,1}
@ATTRIBUTE #remains{0,1}
@ATTRIBUTE #buy{0,1}
@ATTRIBUTE #drinking{0,1}
@ATTRIBUTE #dialogue{0,1}
@ATTRIBUTE #substitute{0,1}
@ATTRIBUTE #fried{0,1}
@ATTRIBUTE #leaf{0,1}
@ATTRIBUTE #mash{0,1}
@ATTRIBUTE #enough{0,1}
@ATTRIBUTE #alive{0,1}
@ATTRIBUTE #tea{0,1}
@ATTRIBUTE #hunted{0,1}
@ATTRIBUTE #pretzels{0,1}
@ATTRIBUTE #hat{0,1}
@ATTRIBUTE #seedlings{0,1}
@ATTRIBUTE #subsequently{0,1}
@ATTRIBUTE #dinners{0,1}
@ATTRIBUTE #terrific{0,1}
@ATTRIBUTE #camps{0,1}
@ATTRIBUTE #lunch{0,1}
@ATTRIBUTE #figs{0,1}
@ATTRIBUTE #live{0,1}
@ATTRIBUTE #jews{0,1}
@ATTRIBUTE #tuna{0,1}
@ATTRIBUTE #cake{0,1}
@ATTRIBUTE #loads{0,1}
@ATTRIBUTE #hero{0,1}
@ATTRIBUTE #lots{0,1}
@ATTRIBUTE #coffee{0,1}
@ATTRIBUTE #fat{0,1}
@ATTRIBUTE #hers{0,1}
@ATTRIBUTE #consumers{0,1}
@ATTRIBUTE #academy{0,1}
@ATTRIBUTE #knows{0,1}
@ATTRIBUTE #dinner{0,1}
@ATTRIBUTE #properly{0,1}
@ATTRIBUTE #amounts{0,1}
@ATTRIBUTE #eggs{0,1}
@ATTRIBUTE #food{0,1}
@ATTRIBUTE #christ{0,1}
@ATTRIBUTE #la{0,1}
@ATTRIBUTE #survived{0,1}
@ATTRIBUTE #maltesers{0,1}
@ATTRIBUTE #spam{0,1}
@ATTRIBUTE #welshman{0,1}
@ATTRIBUTE #remember{0,1}
@ATTRIBUTE #rectory{0,1}
@ATTRIBUTE #loss{0,1}
@ATTRIBUTE #allow{0,1}
@ATTRIBUTE #loopers{0,1}
@ATTRIBUTE #prawn{0,1}
@ATTRIBUTE #pickled{0,1}
@ATTRIBUTE #chirpy{0,1}
@ATTRIBUTE #awful{0,1}
@ATTRIBUTE #waterbottle{0,1}
@ATTRIBUTE #fit{0,1}
@ATTRIBUTE #orbison{0,1}
@ATTRIBUTE #ice{0,1}
@ATTRIBUTE #meat{0,1}
@ATTRIBUTE #precious{0,1}
@ATTRIBUTE #bermondsey{0,1}
@ATTRIBUTE #restaurants{0,1}
@ATTRIBUTE #caterpillars{0,1}
@ATTRIBUTE #meal{0,1}
@ATTRIBUTE #lit{0,1}
@ATTRIBUTE #indigestion{0,1}
@ATTRIBUTE #britons{0,1}
@ATTRIBUTE #taff{0,1}
@ATTRIBUTE #sea{0,1}
@ATTRIBUTE #orchard{0,1}
@ATTRIBUTE #dodo{0,1}
@ATTRIBUTE #pie{0,1}
@ATTRIBUTE #concepts{0,1}
@ATTRIBUTE #mayonnaise{0,1}
@ATTRIBUTE #contravenes{0,1}
@ATTRIBUTE #therefore{0,1}
@ATTRIBUTE #balanced{0,1}
@ATTRIBUTE #meals{0,1}
@ATTRIBUTE #sandwich{0,1}
@ATTRIBUTE #plan{0,1}
@ATTRIBUTE #drank{0,1}
@ATTRIBUTE #vinegar{0,1}
@ATTRIBUTE #box{0,1}
@ATTRIBUTE #prayers{0,1}
@ATTRIBUTE #started{0,1}
@ATTRIBUTE #anne{0,1}
@ATTRIBUTE #fibre{0,1}
@ATTRIBUTE #sword{0,1}

@DATA
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
00000000, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
