@RELATION climb.v


@ATTRIBUTE senses {000010, 010000, 001000, 000100, 000000, 100000, 000001}
@ATTRIBUTE #technique{0,1}
@ATTRIBUTE #waterfalls{0,1}
@ATTRIBUTE #reducing{0,1}
@ATTRIBUTE #hundred{0,1}
@ATTRIBUTE #wait{0,1}
@ATTRIBUTE #pitches{0,1}
@ATTRIBUTE #zero{0,1}
@ATTRIBUTE #participants{0,1}
@ATTRIBUTE #sailor{0,1}
@ATTRIBUTE #shap{0,1}
@ATTRIBUTE #ridge{0,1}
@ATTRIBUTE #sufficient{0,1}
@ATTRIBUTE #frightening{0,1}
@ATTRIBUTE #ancient{0,1}
@ATTRIBUTE #village{0,1}
@ATTRIBUTE #wholesale{0,1}
@ATTRIBUTE #winch{0,1}
@ATTRIBUTE #rigging{0,1}
@ATTRIBUTE #tsarevich{0,1}
@ATTRIBUTE #elation{0,1}
@ATTRIBUTE #glider{0,1}
@ATTRIBUTE #castaway{0,1}
@ATTRIBUTE #journalist{0,1}
@ATTRIBUTE #cashmere{0,1}
@ATTRIBUTE #hill{0,1}
@ATTRIBUTE #vitrified{0,1}
@ATTRIBUTE #revenues{0,1}
@ATTRIBUTE #steps{0,1}
@ATTRIBUTE #smoke{0,1}
@ATTRIBUTE #bolts{0,1}
@ATTRIBUTE #conditions{0,1}
@ATTRIBUTE #fence{0,1}
@ATTRIBUTE #parliament{0,1}
@ATTRIBUTE #routes{0,1}
@ATTRIBUTE #quality{0,1}
@ATTRIBUTE #bottom{0,1}
@ATTRIBUTE #twelve{0,1}
@ATTRIBUTE #low{0,1}
@ATTRIBUTE #nearby{0,1}
@ATTRIBUTE #cross{0,1}
@ATTRIBUTE #credibility{0,1}
@ATTRIBUTE #nourished{0,1}
@ATTRIBUTE #pleads{0,1}
@ATTRIBUTE #bmc{0,1}
@ATTRIBUTE #intrepid{0,1}
@ATTRIBUTE #peak{0,1}
@ATTRIBUTE #offensive{0,1}
@ATTRIBUTE #finally{0,1}
@ATTRIBUTE #costs{0,1}
@ATTRIBUTE #greenholme{0,1}
@ATTRIBUTE #faster{0,1}
@ATTRIBUTE #mountains{0,1}
@ATTRIBUTE #stairs{0,1}
@ATTRIBUTE #crux{0,1}
@ATTRIBUTE #latter{0,1}
@ATTRIBUTE #easy{0,1}
@ATTRIBUTE #jasmine{0,1}
@ATTRIBUTE #grade{0,1}
@ATTRIBUTE #dollar{0,1}
@ATTRIBUTE #surplus{0,1}
@ATTRIBUTE #september{0,1}
@ATTRIBUTE #stair{0,1}
@ATTRIBUTE #relegated{0,1}
@ATTRIBUTE #christmas{0,1}
@ATTRIBUTE #prospects{0,1}
@ATTRIBUTE #crystal{0,1}
@ATTRIBUTE #eventually{0,1}
@ATTRIBUTE #h{0,1}
@ATTRIBUTE #angle{0,1}
@ATTRIBUTE #machines{0,1}
@ATTRIBUTE #yards{0,1}
@ATTRIBUTE #familiar{0,1}
@ATTRIBUTE #chair{0,1}
@ATTRIBUTE #starts{0,1}
@ATTRIBUTE #grassy{0,1}
@ATTRIBUTE #route{0,1}
@ATTRIBUTE #mildew{0,1}
@ATTRIBUTE #birkett{0,1}
@ATTRIBUTE #literally{0,1}
@ATTRIBUTE #concentrate{0,1}
@ATTRIBUTE #percent{0,1}
@ATTRIBUTE #jersey{0,1}
@ATTRIBUTE #stone{0,1}
@ATTRIBUTE #disruption{0,1}
@ATTRIBUTE #selecting{0,1}
@ATTRIBUTE #somewhere{0,1}
@ATTRIBUTE #attitudes{0,1}
@ATTRIBUTE #angles{0,1}
@ATTRIBUTE #aboard{0,1}
@ATTRIBUTE #bower{0,1}
@ATTRIBUTE #fragrant{0,1}
@ATTRIBUTE #tenement{0,1}
@ATTRIBUTE #shoots{0,1}
@ATTRIBUTE #train{0,1}
@ATTRIBUTE #philip{0,1}
@ATTRIBUTE #kites{0,1}
@ATTRIBUTE #shoes{0,1}
@ATTRIBUTE #cornflake{0,1}
@ATTRIBUTE #expedition{0,1}
@ATTRIBUTE #tonnes{0,1}
@ATTRIBUTE #seriousness{0,1}
@ATTRIBUTE #priest{0,1}
@ATTRIBUTE #minus{0,1}
@ATTRIBUTE #bed{0,1}
@ATTRIBUTE #tatras{0,1}
@ATTRIBUTE #billion{0,1}
@ATTRIBUTE #effort{0,1}
@ATTRIBUTE #efficiently{0,1}
@ATTRIBUTE #learn{0,1}
@ATTRIBUTE #weary{0,1}
@ATTRIBUTE #roses{0,1}
@ATTRIBUTE #islands{0,1}
@ATTRIBUTE #scrambling{0,1}
@ATTRIBUTE #walk{0,1}
@ATTRIBUTE #pitch{0,1}
@ATTRIBUTE #diving{0,1}
@ATTRIBUTE #wall{0,1}
@ATTRIBUTE #gliders{0,1}
@ATTRIBUTE #tug{0,1}
@ATTRIBUTE #medic{0,1}
@ATTRIBUTE #acceptable{0,1}
@ATTRIBUTE #skiing{0,1}
@ATTRIBUTE #gary{0,1}
@ATTRIBUTE #bill{0,1}
@ATTRIBUTE #compass{0,1}
@ATTRIBUTE #reach{0,1}
@ATTRIBUTE #stairway{0,1}
@ATTRIBUTE #swim{0,1}
@ATTRIBUTE #toil{0,1}
@ATTRIBUTE #above{0,1}
@ATTRIBUTE #spent{0,1}
@ATTRIBUTE #spirally{0,1}
@ATTRIBUTE #rocks{0,1}
@ATTRIBUTE #reached{0,1}
@ATTRIBUTE #ladder{0,1}
@ATTRIBUTE #steeply{0,1}
@ATTRIBUTE #attempting{0,1}
@ATTRIBUTE #ourselves{0,1}
@ATTRIBUTE #ill{0,1}
@ATTRIBUTE #anaya{0,1}
@ATTRIBUTE #englishmen{0,1}
@ATTRIBUTE #feet{0,1}
@ATTRIBUTE #elbrus{0,1}
@ATTRIBUTE #tenuous{0,1}
@ATTRIBUTE #bending{0,1}
@ATTRIBUTE #profits{0,1}
@ATTRIBUTE #tower{0,1}
@ATTRIBUTE #seven{0,1}
@ATTRIBUTE #prices{0,1}
@ATTRIBUTE #ultar{0,1}
@ATTRIBUTE #average{0,1}

@DATA
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
