@RELATION miss.v


@ATTRIBUTE senses {000000000, 010000000, 000010000, 000001000, 001000000, 000100000, 000000100}
@ATTRIBUTE #kicking{0,1}
@ATTRIBUTE #webb{0,1}
@ATTRIBUTE #dogs{0,1}
@ATTRIBUTE #shelford{0,1}
@ATTRIBUTE #leering{0,1}
@ATTRIBUTE #chance{0,1}
@ATTRIBUTE #prior{0,1}
@ATTRIBUTE #munich{0,1}
@ATTRIBUTE #patricia{0,1}
@ATTRIBUTE #neil{0,1}
@ATTRIBUTE #applications{0,1}
@ATTRIBUTE #lunch{0,1}
@ATTRIBUTE #penalty{0,1}
@ATTRIBUTE #trick{0,1}
@ATTRIBUTE #screaming{0,1}
@ATTRIBUTE #going{0,1}
@ATTRIBUTE #seeing{0,1}
@ATTRIBUTE #tells{0,1}
@ATTRIBUTE #cricket{0,1}
@ATTRIBUTE #fines{0,1}
@ATTRIBUTE #damn{0,1}
@ATTRIBUTE #narrowly{0,1}
@ATTRIBUTE #kids{0,1}
@ATTRIBUTE #calcavecchia{0,1}
@ATTRIBUTE #putting{0,1}
@ATTRIBUTE #winning{0,1}
@ATTRIBUTE #theatre{0,1}
@ATTRIBUTE #bernabeu{0,1}
@ATTRIBUTE #pitch{0,1}
@ATTRIBUTE #golden{0,1}
@ATTRIBUTE #ride{0,1}
@ATTRIBUTE #tournament{0,1}
@ATTRIBUTE #wentworth{0,1}
@ATTRIBUTE #experiences{0,1}
@ATTRIBUTE #killed{0,1}
@ATTRIBUTE #parry{0,1}
@ATTRIBUTE #bayern{0,1}
@ATTRIBUTE #road{0,1}
@ATTRIBUTE #tested{0,1}
@ATTRIBUTE #durie{0,1}
@ATTRIBUTE #strike{0,1}
@ATTRIBUTE #england{0,1}
@ATTRIBUTE #craig{0,1}
@ATTRIBUTE #spent{0,1}
@ATTRIBUTE #yardley{0,1}
@ATTRIBUTE #greatly{0,1}
@ATTRIBUTE #answering{0,1}
@ATTRIBUTE #smith{0,1}
@ATTRIBUTE #wonnacott{0,1}
@ATTRIBUTE #theatrical{0,1}
@ATTRIBUTE #ryder{0,1}
@ATTRIBUTE #awake{0,1}
@ATTRIBUTE #ninagawa{0,1}
@ATTRIBUTE #point{0,1}
@ATTRIBUTE #weep{0,1}
@ATTRIBUTE #opportunity{0,1}
@ATTRIBUTE #meals{0,1}
@ATTRIBUTE #target{0,1}
@ATTRIBUTE #sticks{0,1}
@ATTRIBUTE #gelding{0,1}
@ATTRIBUTE #zone{0,1}
@ATTRIBUTE #workout{0,1}

@DATA
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
