@RELATION write.v


@ATTRIBUTE sense {000000000, 000001000, 000000001, 001000000, 000100000, 000000010}
@ATTRIBUTE #letters{0,1}
@ATTRIBUTE #Please{0,1}
@ATTRIBUTE #letter{0,1}
@ATTRIBUTE #please{0,1}
@ATTRIBUTE #historians{0,1}
@ATTRIBUTE #courteous{0,1}
@ATTRIBUTE #appealing{0,1}
@ATTRIBUTE #Stein{0,1}
@ATTRIBUTE #Peter{0,1}
@ATTRIBUTE #Glover{0,1}
@ATTRIBUTE #ACET{0,1}
@ATTRIBUTE #writing{0,1}

@DATA
000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000,1,0,0,0,0,0,0,0,0,0,0,0
000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000,0,0,1,0,0,0,0,0,0,0,0,0
000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000,0,0,0,0,0,0,0,0,1,0,0,0
000000000,0,0,1,0,0,0,0,0,0,0,0,0
000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000,0,1,0,0,0,0,0,0,0,0,1,0
000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000,0,0,0,0,0,0,0,0,0,0,1,0
000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000,1,0,0,0,0,0,0,0,0,0,0,0
