@RELATION bank.n


@ATTRIBUTE sense {01000000000, 10000000000, 00101000000, 00000001100, 00001000000, 00000001000, 10000001000, 00000100000, 00000000001, 00000000000, 00000010000, 00000000010, 00100000000, 00000011000, 00000000100}
@ATTRIBUTE #river{0,1}
@ATTRIBUTE #trees{0,1}
@ATTRIBUTE #financial{0,1}
@ATTRIBUTE #investors{0,1}
@ATTRIBUTE #credit{0,1}
@ATTRIBUTE #clearing{0,1}
@ATTRIBUTE #technical{0,1}
@ATTRIBUTE #shareholders{0,1}
@ATTRIBUTE #share{0,1}
@ATTRIBUTE #road{0,1}
@ATTRIBUTE #plan{0,1}
@ATTRIBUTE #institutions{0,1}

@DATA
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,1,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,1,0,0,0,0,0,0,0,0,0,0,0
00000000000,1,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,1,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,1,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,1,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,1,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,1,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,1,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,1,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,1,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,1
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,1,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,1,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,1,0,0,0,0,0,0,0,0,1
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000000,0,0,0,0,0,0,0,0,0,0,0,0
