@RELATION shelter.n


@ATTRIBUTE sense {00000, 00001, 10000, 01000, 11000, 00010, 00101, 00100, 01001, 01100}
@ATTRIBUTE #provide{0,1}
@ATTRIBUTE #food{0,1}
@ATTRIBUTE #bus{0,1}
@ATTRIBUTE #air{0,1}
@ATTRIBUTE #trees{0,1}
@ATTRIBUTE #wind{0,1}
@ATTRIBUTE #raid{0,1}
@ATTRIBUTE #weather{0,1}
@ATTRIBUTE #winter{0,1}
@ATTRIBUTE #wall{0,1}
@ATTRIBUTE #provided{0,1}
@ATTRIBUTE #homeless{0,1}

@DATA
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,1,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,1,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,1,0,0,1,0,0,0,0,0
00000,0,0,0,1,0,0,1,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,1,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,1,0
00000,0,0,0,0,1,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,1,0,0,0,0,1,0,1,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,1,0,0,1
00000,0,1,0,0,0,0,0,1,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,1,0,0,0,1,0,0,0
00000,0,0,0,1,0,0,1,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,1,0,0,1,0,0,0,0,0
00000,0,0,0,1,0,0,1,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,1,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,1,0,0,0,0,1,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,1,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,1,1,0,0,0,0,0,0,0,0,0,0
00000,0,0,1,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,1,0,0,0,0,0,0,0
00000,1,0,0,0,0,0,0,0,0,0,0,0
00000,0,1,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,1,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,1
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,1,0,0
00000,0,0,0,0,1,0,0,0,0,0,0,0
00000,0,0,0,0,1,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,1,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,1,0,0,0,0,0,0
00000,0,1,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,1,0
00000,0,0,0,0,0,0,0,0,0,0,1,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,1,0,0,0,0,1,0,0,0,0,0,0
00000,0,0,0,0,0,1,0,0,0,1,0,0
00000,0,1,0,1,0,0,1,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
