@RELATION performance.n


@ATTRIBUTE sense {000010, 010001, 010010, 010000, 010100, 000100, 100000, 000101, 000110, 001010, 001000, 001100, 011000, 100100, 000000, 000001}
@ATTRIBUTE #macros{0,1}
@ATTRIBUTE #baltsa{0,1}
@ATTRIBUTE #understudy{0,1}
@ATTRIBUTE #lamda{0,1}
@ATTRIBUTE #lscs{0,1}
@ATTRIBUTE #dissents{0,1}
@ATTRIBUTE #ionization{0,1}
@ATTRIBUTE #sarastro{0,1}
@ATTRIBUTE #wigmore{0,1}
@ATTRIBUTE #cardus{0,1}
@ATTRIBUTE #charterhouse{0,1}
@ATTRIBUTE #bernie{0,1}
@ATTRIBUTE #pinchas{0,1}
@ATTRIBUTE #nominating{0,1}
@ATTRIBUTE #fated{0,1}
@ATTRIBUTE #legislator{0,1}
@ATTRIBUTE #endorses{0,1}
@ATTRIBUTE #gallacher{0,1}
@ATTRIBUTE #thermocouples{0,1}
@ATTRIBUTE #impeccably{0,1}
@ATTRIBUTE #sukova{0,1}
@ATTRIBUTE #hamstrings{0,1}
@ATTRIBUTE #miscast{0,1}
@ATTRIBUTE #assemblers{0,1}
@ATTRIBUTE #coercively{0,1}

@DATA
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
