@RELATION solid.a


@ATTRIBUTE sense {010000000000000, 001000000000000, 000000000000100, 000000100000000, 100000000000000, 000000000000000, 001000000001000, 000001000001000, 000000001001000, 000000001000000, 000000000001000, 000001001000000, 000000000010000, 000001000000000, 000000010000000, 000010000000000, 000000000000010}
@ATTRIBUTE #wood{0,1}
@ATTRIBUTE #walls{0,1}
@ATTRIBUTE #wall{0,1}
@ATTRIBUTE #table{0,1}
@ATTRIBUTE #supported{0,1}
@ATTRIBUTE #steep{0,1}
@ATTRIBUTE #necessary{0,1}
@ATTRIBUTE #material{0,1}
@ATTRIBUTE #edge{0,1}
@ATTRIBUTE #cream{0,1}
@ATTRIBUTE #base{0,1}
@ATTRIBUTE #apparently{0,1}

@DATA
000001000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000001000,0,0,0,0,0,0,0,0,0,0,0,0
010000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000100,0,0,0,0,0,0,0,0,0,0,0,0
000000100000000,1,1,0,0,0,0,0,0,0,0,0,0
000001000000000,0,0,0,0,0,0,0,0,0,0,0,0
000001000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000001000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000001000,0,0,0,0,0,0,0,0,0,0,1,0
000000100000000,0,0,0,1,0,0,0,0,1,1,0,0
000000000000100,0,0,0,0,0,0,0,0,0,1,0,0
000000100000000,0,0,0,0,0,1,0,0,0,0,0,0
000000010000000,0,0,0,0,0,0,0,0,0,0,0,0
000000100000000,0,0,0,0,0,0,0,0,0,0,0,0
010000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000001000000000,0,0,0,0,0,0,0,0,0,0,0,0
000001000001000,0,0,0,0,0,0,0,0,0,0,0,0
000001000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000001000,0,0,0,0,0,0,0,1,0,0,0,0
001000000000000,1,0,0,0,0,0,0,0,0,0,0,1
100000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000001000000,0,0,0,0,0,0,0,0,0,0,0,0
100000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000001000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000100000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000001000,0,0,0,0,0,0,0,0,0,0,0,0
000001000000000,0,0,0,0,0,0,1,0,1,0,0,0
000000000000010,0,0,0,0,0,0,0,0,0,0,0,0
000000100000000,0,0,0,0,0,1,0,0,0,0,0,0
000000000000100,0,0,0,0,0,0,0,0,0,0,0,0
000001000001000,0,0,0,0,0,0,0,0,0,0,0,0
000000000001000,0,0,0,0,0,0,0,0,0,0,1,1
000000000000010,0,0,0,0,0,0,0,0,0,0,0,0
000000001001000,0,0,0,0,0,0,0,1,0,0,0,0
000001000000000,0,0,0,0,0,0,0,0,0,0,0,0
000001000000000,0,0,0,0,0,0,0,0,0,0,0,0
100000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000010000000,1,0,0,0,0,0,0,0,0,0,0,0
000000010000000,1,0,0,0,0,0,0,0,0,0,0,0
000001000000000,0,0,0,0,0,0,0,0,0,0,0,0
001000000000000,0,1,1,0,0,0,1,0,0,0,0,0
000001001000000,0,0,0,0,0,0,0,0,0,0,0,0
000010000000000,0,0,0,0,0,0,0,0,0,0,0,0
100000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000001000000000,0,0,0,0,0,0,0,0,0,0,0,0
001000000001000,0,0,1,0,0,0,0,0,0,0,0,0
001000000000000,1,0,0,1,0,0,0,0,0,0,0,0
001000000000000,1,0,0,0,0,0,0,0,0,0,0,0
000001000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000010000,0,0,0,0,0,0,0,0,0,0,0,0
000000000001000,0,0,0,0,1,0,0,0,0,0,0,0
000001000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000100000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000100,0,0,0,0,0,0,0,0,0,0,0,0
000000100000000,0,0,1,0,0,0,0,0,0,0,0,0
000000000000010,0,0,0,0,1,0,0,0,0,0,0,0
000000000001000,0,0,0,0,0,0,0,0,0,0,0,0
100000000000000,0,0,0,0,0,0,0,0,0,0,0,0
